config,workload,payload_bytes,inflight,stage,p50_ns,p99_ns,p99_9_ns,count
single_disk,bytes,64,8,submit_to_node,10067967,13754367,17383423,5000
single_disk,bytes,64,8,node_to_append,7111,45919,596479,5000
single_disk,bytes,64,8,journal_durable,17951,92607,694783,5000
single_disk,bytes,64,8,commit_to_apply_enq,419327,1006591,3102719,5000
single_disk,bytes,64,8,apply_ring,77503,164479,741375,5000
single_disk,bytes,64,8,apply,701,2603,6051,5000
single_disk,bytes,64,8,resp_ring,997375,2084863,2131967,5000
single_disk,bytes,64,8,resp_to_broadcast,3665,24527,48895,5000
single_disk,bytes,64,8,broadcast_to_client,1464319,1872895,3225599,5000
single_disk,bytes,64,8,total,12451839,16875519,19808255,5000
single_tmpfs,bytes,64,8,submit_to_node,6946815,9879551,12091391,5000
single_tmpfs,bytes,64,8,node_to_append,6111,30847,49375,5000
single_tmpfs,bytes,64,8,journal_durable,13823,46079,2265087,5000
single_tmpfs,bytes,64,8,commit_to_apply_enq,52031,116799,428799,5000
single_tmpfs,bytes,64,8,apply_ring,79743,159743,671231,5000
single_tmpfs,bytes,64,8,apply,531,1963,2855,5000
single_tmpfs,bytes,64,8,resp_ring,992767,2050047,2760703,5000
single_tmpfs,bytes,64,8,resp_to_broadcast,1632,17087,27871,5000
single_tmpfs,bytes,64,8,broadcast_to_client,1139711,2121727,2932735,5000
single_tmpfs,bytes,64,8,total,9281535,12263423,14622719,5000
